Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	code	category	category.name
1001	Duration of strenuous sports	34342	302857	NA	NA	1001	100054	Physical activity
1011	Frequency of light DIY in last 4 weeks	169623	167576	NA	NA	1011	100054	Physical activity
102	Pulse rate, automated reading	317756	19443	NA	NA	102	100011	Blood pressure
1021	Duration of light DIY	168725	168474	NA	NA	1021	100054	Physical activity
1070	Time spent watching television (TV)	319740	17459	NA	NA	1070	100054	Physical activity
1080	Time spent using computer	261987	75212	NA	NA	1080	100054	Physical activity
1090	Time spent driving	224813	112386	NA	NA	1090	100054	Physical activity
1100	Drive faster than motorway speed limit	306030	31169	NA	NA	1100	100054	Physical activity
1160	Sleep duration	335410	1789	NA	NA	1160	100057	Sleep
1170	Getting up in morning	336501	698	NA	NA	1170	100057	Sleep
1180	Morning/evening person (chronotype)	301143	36056	NA	NA	1180	100057	Sleep
1190	Nap during day	337074	125	NA	NA	1190	100057	Sleep
1200	Sleeplessness / insomnia	336965	234	NA	NA	1200	100057	Sleep
1210	Snoring	314449	22750	117812	196637	1210	100057	Sleep
1220	Daytime dozing / sleeping (narcolepsy)	336082	1117	NA	NA	1220	100057	Sleep
1239	Current tobacco smoking	337030	169	NA	NA	1239	100058	Smoking
1249	Past tobacco smoking	310749	26450	NA	NA	1249	100058	Smoking
1259	Smoking/smokers in household	311142	26057	NA	NA	1259	100058	Smoking
1269	Exposure to tobacco smoke at home	305723	31476	NA	NA	1269	100058	Smoking
1279	Exposure to tobacco smoke outside home	286550	50649	NA	NA	1279	100058	Smoking
134	Number of self-reported cancers	337154	45	NA	NA	134	100074	Medical conditions
135	Number of self-reported non-cancer illnesses	337159	40	NA	NA	135	100074	Medical conditions
136	Number of operations, self-reported	337159	40	NA	NA	136	100076	Operations
137	Number of treatments/medications taken	337159	40	NA	NA	137	100075	Medications
1558	Alcohol intake frequency.	336965	234	NA	NA	1558	100051	Alcohol
1568	Average weekly red wine intake	241008	96191	NA	NA	1568	100051	Alcohol
1578	Average weekly champagne plus white wine intake	240864	96335	NA	NA	1578	100051	Alcohol
1588	Average weekly beer plus cider intake	241447	95752	NA	NA	1588	100051	Alcohol
1598	Average weekly spirits intake	240658	96541	NA	NA	1598	100051	Alcohol
1608	Average weekly fortified wine intake	241381	95818	NA	NA	1608	100051	Alcohol
1618	Alcohol usually taken with meals	172454	164745	116941	55513	1618	100051	Alcohol
1628	Alcohol intake versus 10 years previously	313248	23951	NA	NA	1628	100051	Alcohol
1677	Breastfed as a baby	255881	81318	181621	74260	1677	100033	Early life factors
1687	Comparative body size at age 10	331693	5506	NA	NA	1687	100033	Early life factors
1697	Comparative height size at age 10	332021	5178	NA	NA	1697	100033	Early life factors
1707_2	Handedness (chirality/laterality): Left-handed	337130	69	32442	304688	1707	100033	Early life factors
1787	Maternal smoking around birth	289727	47472	88601	201126	1787	100033	Early life factors
1797	Father still alive	328694	8505	76074	252620	1797	100034	Family history
1807	Father's age at death	248726	88473	NA	NA	1807	100034	Family history
1835	Mother still alive	331902	5297	130993	200909	1835	100034	Family history
1873	Number of full brothers	332194	5005	NA	NA	1873	100034	Family history
1883	Number of full sisters	332255	4944	NA	NA	1883	100034	Family history
189	Townsend deprivation index at recruitment	336798	401	NA	NA	189	100094	Baseline characteristics
1920	Mood swings	329428	7771	148601	180827	1920	100060	Mental health
1930	Miserableness	331856	5343	141755	190101	1930	100060	Mental health
1940	Irritability	322668	14531	90282	232386	1940	100060	Mental health
1950	Sensitivity / hurt feelings	327832	9367	182340	145492	1950	100060	Mental health
1960	Fed-up feelings	330549	6650	134124	196425	1960	100060	Mental health
1970	Nervous feelings	328725	8474	77767	250958	1970	100060	Mental health
1980	Worrier / anxious feelings	328717	8482	186559	142158	1980	100060	Mental health
1990	Tense / 'highly strung'	327232	9967	56012	271220	1990	100060	Mental health
2000	Worry too long after embarrassment	323766	13433	154615	169151	2000	100060	Mental health
20002_1065	Non-cancer illness code, self-reported: hypertension	337159	40	87690	249469	20002	100074	Medical conditions
20002_1074	Non-cancer illness code, self-reported: angina	337159	40	10612	326547	20002	100074	Medical conditions
20002_1111	Non-cancer illness code, self-reported: asthma	337159	40	39049	298110	20002	100074	Medical conditions
20002_1138	Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux	337159	40	14316	322843	20002	100074	Medical conditions
20002_1220	Non-cancer illness code, self-reported: diabetes	337159	40	13243	323916	20002	100074	Medical conditions
20002_1226	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	337159	40	16376	320783	20002	100074	Medical conditions
20002_1265	Non-cancer illness code, self-reported: migraine	337159	40	10007	327152	20002	100074	Medical conditions
20002_1286	Non-cancer illness code, self-reported: depression	337159	40	19195	317964	20002	100074	Medical conditions
20002_1387	Non-cancer illness code, self-reported: hayfever/allergic rhinitis	337159	40	19320	317839	20002	100074	Medical conditions
20002_1465	Non-cancer illness code, self-reported: osteoarthritis	337159	40	28257	308902	20002	100074	Medical conditions
20002_1473	Non-cancer illness code, self-reported: high cholesterol	337159	40	41296	295863	20002	100074	Medical conditions
20002_99999	Non-cancer illness code, self-reported: unclassifiable	337159	40	13589	323570	20002	100074	Medical conditions
20003_1140852976	Treatment/medication code: multivitamins	337159	40	10402	326757	20003	100075	Medications
20003_1140860806	Treatment/medication code: ramipril	337159	40	15787	321372	20003	100075	Medications
20003_1140861958	Treatment/medication code: simvastatin	337159	40	38492	298667	20003	100075	Medications
20003_1140864752	Treatment/medication code: lansoprazole	337159	40	12071	325088	20003	100075	Medications
20003_1140865634	Treatment/medication code: omeprazole	337159	40	19668	317491	20003	100075	Medications
20003_1140866738	Treatment/medication code: atenolol	337159	40	13184	323975	20003	100075	Medications
20003_1140868226	Treatment/medication code: aspirin	337159	40	45012	292147	20003	100075	Medications
20003_1140871310	Treatment/medication code: ibuprofen	337159	40	41952	295207	20003	100075	Medications
20003_1140879802	Treatment/medication code: amlodipine	337159	40	13693	323466	20003	100075	Medications
20003_1140909674	Treatment/medication code: cod liver oil capsule	337159	40	19806	317353	20003	100075	Medications
20003_1141146234	Treatment/medication code: atorvastatin	337159	40	10167	326992	20003	100075	Medications
20003_1141188442	Treatment/medication code: glucosamine product	337159	40	22914	314245	20003	100075	Medications
20003_1141191044	Treatment/medication code: levothyroxine sodium	337159	40	13717	323442	20003	100075	Medications
20003_1141194794	Treatment/medication code: bendroflumethiazide	337159	40	19084	318075	20003	100075	Medications
20003_1193	Treatment/medication code: omega-3/fish oil supplement	337159	40	12924	324235	20003	100075	Medications
20003_2038460150	Treatment/medication code: paracetamol	337159	40	62050	275109	20003	100075	Medications
20003_99999	Treatment/medication code: Free-text entry, unable to be coded	337159	40	11362	325797	20003	100075	Medications
20015	Sitting height	336172	1027	NA	NA	20015	100010	Body size measures
20016	Fluid intelligence score	108818	228381	NA	NA	20016	100027	Fluid intelligence
20018	Prospective memory result	111099	226100	NA	NA	20018	100031	Prospective memory
20022	Birth weight	193063	144136	NA	NA	20022	100072	Early life factors
20023	Mean time to correctly identify matches	335139	2060	NA	NA	20023	100032	Reaction time
2010	Suffer from 'nerves'	325248	11951	69352	255896	2010	100060	Mental health
20107_1	Illnesses of father: Heart disease	298237	38962	97385	200852	20107	100034	Family history
20107_10	Illnesses of father: Alzheimer's disease/dementia	292807	44392	14024	278783	20107	100034	Family history
20107_100	Illnesses of father: None of the above (group 1)	294791	42408	109206	185585	20107	100034	Family history
20107_101	Illnesses of father: None of the above (group 2)	298287	38912	222710	75577	20107	100034	Family history
20107_12	Illnesses of father: Severe depression	292602	44597	11053	281549	20107	100034	Family history
20107_13	Illnesses of father: Prostate cancer	292710	44489	22534	270176	20107	100034	Family history
20107_2	Illnesses of father: Stroke	294757	42442	46007	248750	20107	100034	Family history
20107_3	Illnesses of father: Lung cancer	294142	43057	27424	266718	20107	100034	Family history
20107_4	Illnesses of father: Bowel cancer	292883	44316	17428	275455	20107	100034	Family history
20107_6	Illnesses of father: Chronic bronchitis/emphysema	294680	42519	33805	260875	20107	100034	Family history
20107_8	Illnesses of father: High blood pressure	294950	42249	66341	228609	20107	100034	Family history
20107_9	Illnesses of father: Diabetes	293407	43792	28197	265210	20107	100034	Family history
20110_1	Illnesses of mother: Heart disease	311606	25593	62065	249541	20110	100034	Family history
20110_10	Illnesses of mother: Alzheimer's disease/dementia	309843	27356	26757	283086	20110	100034	Family history
20110_100	Illnesses of mother: None of the above (group 1)	311264	25935	129391	181873	20110	100034	Family history
20110_101	Illnesses of mother: None of the above (group 2)	312950	24249	241462	71488	20110	100034	Family history
20110_12	Illnesses of mother: Severe depression	309474	27725	20369	289105	20110	100034	Family history
20110_2	Illnesses of mother: Stroke	310688	26511	44454	266234	20110	100034	Family history
20110_3	Illnesses of mother: Lung cancer	309511	27688	12712	296799	20110	100034	Family history
20110_4	Illnesses of mother: Bowel cancer	309418	27781	16072	293346	20110	100034	Family history
20110_5	Illnesses of mother: Breast cancer	309649	27550	25865	283784	20110	100034	Family history
20110_6	Illnesses of mother: Chronic bronchitis/emphysema	309793	27406	18252	291541	20110	100034	Family history
20110_8	Illnesses of mother: High blood pressure	311681	25518	94817	216864	20110	100034	Family history
20110_9	Illnesses of mother: Diabetes	309953	27246	28875	281078	20110	100034	Family history
20111_1	Illnesses of siblings: Heart disease	261582	75617	26382	235200	20111	100034	Family history
