Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	Notes
1011	Frequency of light DIY in last 4 weeks	169623	167576	NA	NA	"ACE touchscreen question """"How many times in the last 4 weeks did you do light DIY?"""" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1011~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~"
102	Pulse rate, automated reading	317756	19443	NA	NA	This is the pulse rate measured during the automated blood pressure readings.
1021	Duration of light DIY	168725	168474	NA	NA	"ACE touchscreen question """"Each time you did light DIY, about how long did you spend doing it?"""" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1021~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~"
1070	Time spent watching television (TV)	319740	17459	NA	NA	"ACE touchscreen question """"In a typical DAY, how many hours do you spend watching TV? (Put 0 if you do not spend any time doing it)"""" The following checks were performed: If answer < 0 then rejected If answer > 24 then rejected If answer > 8 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend watching TV varies a lot, give the average time for a 24 hour day in the last 4 weeks."
1080	Time spent using computer	261987	75212	NA	NA	"ACE touchscreen question """"In a typical DAY, how many hours do you spend using the computer? (Do not include using a computer at work; put 0 if you do not spend any time doing it)"""" The following checks were performed: If answer < 0 then rejected If answer > 24 then rejected If answer > 6 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend on the computer varies a lot, give the average time for a 24 hour day in the last 4 weeks. Remember not to include time spent on a computer at work. This question was only asked during 2006 so needs to be interpreted in the light of technological development at that time when computers would generally mean either desktop or laptop PC systems."
1090	Time spent driving	224813	112386	NA	NA	"ACE touchscreen question """"In a typical DAY, how many hours do you spend driving?"""" The following checks were performed: If answer < 0 then rejected If answer > 24 then rejected If answer > 6 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend driving varies a lot, give the average time for a 24 hour day in the last 4 weeks. Include driving a car, bus, motorcycle, boat, truck etc. Include all the driving that you do as part of work, getting to work or outside of work. If you do not drive please enter 0."
1100	Drive faster than motorway speed limit	306030	31169	NA	NA	"ACE touchscreen question """"How often do you drive faster than the speed limit on the motorway?"""" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. At the time of asking (2006) the UK motorway speed limit was 70miles/hour."
1160	Sleep duration	335410	1789	NA	NA	"ACE touchscreen question """"About how many hours sleep do you get in every 24 hours? (please include naps)"""" The following checks were performed: If answer < 1 then rejected If answer > 23 then rejected If answer < 3 then participant asked to confirm If answer > 12 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend sleeping varies a lot, give the average time for a 24 hour day in the last 4 weeks."
1170	Getting up in morning	336501	698	NA	NA	"ACE touchscreen question """"On an average day, how easy do you find getting up in the morning?"""" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks."
1180	Morning/evening person (chronotype)	301143	36056	NA	NA	"ACE touchscreen question """"Do you consider yourself to be?"""" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks."
1190	Nap during day	337074	125	NA	NA	"ACE touchscreen question """"Do you have a nap during the day?"""" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks."
1200	Sleeplessness / insomnia	336965	234	NA	NA	"ACE touchscreen question """"Do you have trouble falling asleep at night or do you wake up in the middle of the night?"""" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks."
1220	Daytime dozing / sleeping (narcolepsy)	336082	1117	NA	NA	"ACE touchscreen question """"How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)"""" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know."
1239	Current tobacco smoking	337030	169	NA	NA	"ACE touchscreen question """"Do you smoke tobacco now?"""""
1249	Past tobacco smoking	310749	26450	NA	NA	"ACE touchscreen question """"In the past, how often have you smoked tobacco?"""" ~F1249~ was collected from all participants except those who indicated they currently smoke on most or all days, as defined by their answers to ~F1239~"
1259	Smoking/smokers in household	311142	26057	NA	NA	"ACE touchscreen question """"Does anyone in your household smoke?"""" ~F1259~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
1269	Exposure to tobacco smoke at home	305723	31476	NA	NA	"ACE touchscreen question """"At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"""" The following checks were performed: If answer < 0 then rejected If answer > 168 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Please give the number of hours in a typical week over the last year that you have been exposed to other people's tobacco smoke in the home environment. ~F1269~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
1279	Exposure to tobacco smoke outside home	286550	50649	NA	NA	"ACE touchscreen question """"Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"""" The following checks were performed: If answer < 0 then rejected If answer > 168 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Please give the number of hours in a typical week over the last year that you have been exposed to other people's tobacco smoke in environments other than the home (include work, pubs, restaurants etc). ~F1279~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
134	Number of self-reported cancers	337154	45	NA	NA	Number of cancers entered
135	Number of self-reported non-cancer illnesses	337159	40	NA	NA	Number of non-cancer illnesses entered
136	Number of operations, self-reported	337159	40	NA	NA	Number of operations entered
137	Number of treatments/medications taken	337159	40	NA	NA	Number of treatments (medications) entered
1558	Alcohol intake frequency.	336965	234	NA	NA	"ACE touchscreen question """"About how often do you drink alcohol?"""" If the participant activated the Help button they were shown the message: If this varies a lot, please provide an average considering your intake over the last year"
1568	Average weekly red wine intake	241008	96191	NA	NA	"ACE touchscreen question """"In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)"""" The following checks were performed: If answer < 0 then rejected If answer > 250 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Please include sparkling red wine here. ~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1578	Average weekly champagne plus white wine intake	240864	96335	NA	NA	"ACE touchscreen question """"In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)"""" The following checks were performed: If answer < 0 then rejected If answer > 250 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Please include sparkling white wine here. ~F1578~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
1588	Average weekly beer plus cider intake	241447	95752	NA	NA	"ACE touchscreen question """"In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)"""" The following checks were performed: If answer < 0 then rejected If answer > 250 then rejected If answer > 100 then participant asked to confirm ~F1588~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
