Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	Notes
1618	Alcohol usually taken with meals	172454	164745	116941	55513	"ACE touchscreen question """"When you drink alcohol is it usually with meals?"""" ~F1618~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~"
1677	Breastfed as a baby	255881	81318	181621	74260	"ACE touchscreen question """"Were you breastfed when you were a baby?"""""
1707_2	Handedness (chirality/laterality): Left-handed	337130	69	32442	304688	"ACE touchscreen question """"Are you right or left handed?"""""
1787	Maternal smoking around birth	289727	47472	88601	201126	"ACE touchscreen question """"Did your mother smoke regularly around the time when you were born?"""" ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
1797	Father still alive	328694	8505	76074	252620	"ACE touchscreen question """"Is your father still alive?"""" ~F1797~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
1835	Mother still alive	331902	5297	130993	200909	"ACE touchscreen question """"Is your mother still alive?"""" ~F1835~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
1920	Mood swings	329428	7771	148601	180827	"ACE touchscreen question """"Does your mood often go up and down?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1930	Miserableness	331856	5343	141755	190101	"ACE touchscreen question """"Do you ever feel 'just miserable' for no reason?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1940	Irritability	322668	14531	90282	232386	"ACE touchscreen question """"Are you an irritable person?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1950	Sensitivity / hurt feelings	327832	9367	182340	145492	"ACE touchscreen question """"Are your feelings easily hurt?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1960	Fed-up feelings	330549	6650	134124	196425	"ACE touchscreen question """"Do you often feel 'fed-up'?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1970	Nervous feelings	328725	8474	77767	250958	"ACE touchscreen question """"Would you call yourself a nervous person?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1980	Worrier / anxious feelings	328717	8482	186559	142158	"ACE touchscreen question """"Are you a worrier?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
1990	Tense / 'highly strung'	327232	9967	56012	271220	"ACE touchscreen question """"Would you call yourself tense or 'highly strung'?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
2000	Worry too long after embarrassment	323766	13433	154615	169151	"ACE touchscreen question """"Do you worry too long after an embarrassing experience?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
20002_1065	Non-cancer illness code, self-reported: hypertension	337159	40	87690	249469	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1074	Non-cancer illness code, self-reported: angina	337159	40	10612	326547	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1111	Non-cancer illness code, self-reported: asthma	337159	40	39049	298110	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1138	Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux	337159	40	14316	322843	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1220	Non-cancer illness code, self-reported: diabetes	337159	40	13243	323916	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1226	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	337159	40	16376	320783	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1265	Non-cancer illness code, self-reported: migraine	337159	40	10007	327152	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1286	Non-cancer illness code, self-reported: depression	337159	40	19195	317964	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
